title,authors,year,conference,link
Graph-based Asynchronous Event Processing for Rapid Object Recognition.,"['Yijin Li', 'Han Zhou', 'Bangbang Yang', 'Ye Zhang', 'Zhaopeng Cui', 'Hujun Bao', 'Guofeng Zhang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00097
Parsing Table Structures in the Wild.,"['Rujiao Long', 'Wen Wang', 'Nan Xue', 'Feiyu Gao', 'Zhibo Yang', 'Yongpan Wang', 'Gui-Song Xia']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00098
SketchLattice: Latticed Representation for Sketch Manipulation.,"['Yonggang Qi', 'Guoyao Su', 'Pinaki Nath Chowdhury', 'Mingkang Li', 'Yi-Zhe Song']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00099
Spatial and Semantic Consistency Regularizations for Pedestrian Attribute Recognition.,"['Jian Jia', 'Xiaotang Chen', 'Kaiqi Huang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00100
Detecting Persuasive Atypicality by Modeling Contextual Compatibility.,"['Meiqi Guo', 'Rebecca Hwa', 'Adriana Kovashka']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00101
"Text is Text, No Matter What: Unifying Text Recognition using Knowledge Distillation.","['Ayan Kumar Bhunia', 'Aneeshan Sain', 'Pinaki Nath Chowdhury', 'Yi-Zhe Song']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00102
DocFormer: End-to-End Transformer for Document Understanding.,"['Srikar Appalaraju', 'Bhavan Jasani', 'Bhargava Urala Kota', 'Yusheng Xie', 'R. Manmatha']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00103
LayoutTransformer: Layout Generation and Completion with Self-attention.,"['Kamal Gupta', 'Justin Lazarow', 'Alessandro Achille', 'Larry Davis', 'Vijay Mahadevan', 'Abhinav Shrivastava']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00104
Effectively Leveraging Attributes for Visual Similarity.,"['Samarth Mishra', 'Zhongping Zhang', 'Yuan Shen', 'Ranjitha Kumar', 'Venkatesh Saligrama', 'Bryan A. Plummer']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00105
Counterfactual Attention Learning for Fine-Grained Visual Categorization and Re-identification.,"['Yongming Rao', 'Guangyi Chen', 'Jiwen Lu', 'Jie Zhou']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00106
Learning Canonical 3D Object Representation for Fine-Grained Recognition.,"['Sunghun Joung', 'Seungryong Kim', 'Minsu Kim', 'Ig-Jae Kim', 'Kwanghoon Sohn']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00107
SCOUTER: Slot Attention-based Classifier for Explainable Image Recognition.,"['Liangzhi Li', 'Bowen Wang', 'Manisha Verma', 'Yuta Nakashima', 'Ryo Kawasaki', 'Hajime Nagahara']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00108
Beyond Trivial Counterfactual Explanations with Diverse Valuable Explanations.,"['Pau Rodríguez', 'Massimo Caccia', 'Alexandre Lacoste', 'Lee Zamparo', 'Issam H. Laradji', 'Laurent Charlin', 'David Vázquez']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00109
From Culture to Clothing: Discovering the World Events Behind A Century of Fashion Images.,"['Wei-Lin Hsiao', 'Kristen Grauman']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00110
De-rendering Stylized Texts.,"['Wataru Shimoda', 'Daichi Haraguchi', 'Seiichi Uchida', 'Kota Yamaguchi']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00111
Handwriting Transformers.,"['Ankan Kumar Bhunia', 'Salman H. Khan', 'Hisham Cholakkal', 'Rao Muhammad Anwer', 'Fahad Shahbaz Khan', 'Mubarak Shah']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00112
Interpreting Attributions and Interactions of Adversarial Attacks.,"['Xin Wang', 'Shuyun Lin', 'Hao Zhang', 'Yufei Zhu', 'Quanshi Zhang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00113
The Right to Talk: An Audio-Visual Transformer Approach.,"['Thanh-Dat Truong', 'Chi Nhan Duong', 'The De Vu', 'Hoang Anh Pham', 'Bhiksha Raj', 'Ngan Le', 'Khoa Luu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00114
Why Approximate Matrix Square Root Outperforms Accurate SVD in Global Covariance Pooling?,"['Yue Song', 'Nicu Sebe', 'Wei Wang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00115
Striking a Balance between Stability and Plasticity for Class-Incremental Learning.,"['Guile Wu', 'Shaogang Gong', 'Pan Li']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00116
Predicting with Confidence on Unseen Distributions.,"['Devin Guillory', 'Vaishaal Shankar', 'Sayna Ebrahimi', 'Trevor Darrell', 'Ludwig Schmidt']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00117
Transforms based Tensor Robust PCA: Corrupted Low-Rank Tensors Recovery via Convex Optimization.,['Canyi Lu'],2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00118
CODEs: Chamfer Out-of-Distribution Examples against Overconfidence Issue.,"['Keke Tang', 'Dingruibo Miao', 'Weilong Peng', 'Jianpeng Wu', 'Yawen Shi', 'Zhaoquan Gu', 'Zhihong Tian', 'Wenping Wang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00119
IDARTS: Interactive Differentiable Architecture Search.,"['Song Xue', 'Runqi Wang', 'Baochang Zhang', 'Tian Wang', 'Guodong Guo', 'David S. Doermann']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00120
MeshTalk: 3D Face Animation from Speech using Cross-Modality Disentanglement.,"['Alexander Richard', 'Michael Zollhöfer', 'Yandong Wen', 'Fernando De la Torre', 'Yaser Sheikh']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00121
