title,authors,year,conference,link
Sub-Band Based Attention for Robust Polyp Segmentation.,"['Xianyong Fang', 'Yuqing Shi', 'Qingqing Guo', 'Linbo Wang', 'Zhengyi Liu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/82
Incorporating Unlikely Negative Cues for Distinctive Image Captioning.,"['Zhengcong Fei', 'Junshi Huang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/83
BPNet: Bézier Primitive Segmentation on 3D Point Clouds.,"['Rao Fu', 'Cheng Wen', 'Qian Li', 'Xiao Xiao', 'Pierre Alliez']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/84
Contrastive Learning for Sign Language Recognition and Translation.,"['Shiwei Gan', 'Yafeng Yin', 'Zhiwei Jiang', 'Kang Xia', 'Lei Xie', 'Sanglu Lu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/85
LISSNAS: Locality-based Iterative Search Space Shrinkage for Neural Architecture Search.,"['Bhavna Gopal', 'Arjun Sridhar', 'Tunhou Zhang', 'Yiran Chen']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/86
Towards Robust Scene Text Image Super-resolution via Explicit Location Enhancement.,"['Hang Guo', 'Tao Dai', 'Guanghao Meng', 'Shu-Tao Xia']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/87
Joint-MAE: 2D-3D Joint Masked Autoencoders for 3D Point Cloud Pre-training.,"['Ziyu Guo', 'Renrui Zhang', 'Longtian Qiu', 'Xianzhi Li', 'Pheng-Ann Heng']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/88
SS-BSN: Attentive Blind-Spot Network for Self-Supervised Denoising with Nonlocal Self-Similarity.,"['Young-Joo Han', 'Ha-Jin Yu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/89
DAMO-StreamNet: Optimizing Streaming Perception in Autonomous Driving.,"['Jun-Yan He', 'Zhi-Qi Cheng', 'Chenyang Li', 'Wangmeng Xiang', 'Binghui Chen', 'Bin Luo', 'Yifeng Geng', 'Xuansong Xie']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/90
Independent Feature Decomposition and Instance Alignment for Unsupervised Domain Adaptation.,"['Qichen He', 'Siying Xiao', 'Mao Ye', 'Xiatian Zhu', 'Ferrante Neri', 'Dongde Hou']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/91
